Zeit;Kanal A
(ms);(mV)

-23,11399910;-1,86638800
-23,10899910;-2,42679600
-23,10399910;-2,23978800
-23,09899910;-2,80019700
-23,09399910;-2,23978800
-23,08899910;-1,67999500
-23,08399910;-1,67999500
-23,07899910;-2,42679600
-23,07399910;-2,05339600
-23,06899910;-0,55979330
-23,06399910;-2,05339600
-23,05899910;-1,67999500
-23,05399910;-1,30659400
-23,04899910;-0,93319390
-23,04399910;-2,80019700
-23,03899910;-1,30659400
-23,03399910;-1,30659400
-23,02899910;-1,86638800
-23,02399910;-1,30659400
-23,01899910;-1,30659400
-23,01399910;-1,30659400
-23,00899910;-1,86638800
-23,00399910;-1,11958700
-22,99899910;-2,05339600
-22,99399910;-1,30659400
-22,98899910;-1,11958700
-22,98399910;-0,74618600
-22,97899910;-0,37278540
-22,97399910;-0,74618600
-22,96899910;0,55979330
-22,96399910;1,30659400
-22,95899910;1,67999500
-22,95399910;1,49298700
-22,94899910;2,61318900
-22,94399910;3,54699800
-22,93899910;3,35999000
-22,93399910;3,54699800
-22,92899910;3,73339100
-22,92399910;3,35999000
-22,91899910;3,17359700
-22,91399910;2,42679600
-22,90899910;1,11958700
-22,90399910;0,93319390
-22,89899910;-0,37278540
-22,89399911;-0,74618600
-22,88899911;-0,18639270
-22,88399911;-1,11958700
-22,87899911;-2,23978800
-22,87399911;-1,30659400
-22,86899911;-1,30659400
-22,86399911;-0,55979330
-22,85899911;0,55979330
-22,85399911;0,74618600
-22,84899911;0,93319390
-22,84399911;1,11958700
-22,83899911;2,42679600
-22,83399911;2,42679600
-22,82899911;5,60039300
-22,82399911;2,42679600
-22,81899911;3,17359700
-22,81399911;2,61318900
-22,80899911;2,98658900
-22,80399911;3,35999000
-22,79899911;2,98658900
-22,79399911;2,80019700
-22,78899911;3,17359700
-22,78399911;2,98658900
-22,77899911;2,80019700
-22,77399911;2,80019700
-22,76899911;2,80019700
-22,76399911;2,80019700
-22,75899911;2,98658900
-22,75399911;2,98658900
-22,74899911;2,98658900
-22,74399911;3,17359700
-22,73899911;2,80019700
-22,73399911;3,35999000
-22,72899911;2,98658900
-22,72399911;3,73339100
-22,71899911;3,92039800
-22,71399911;3,92039800
-22,70899911;4,10679100
-22,70399911;4,29379900
-22,69899911;4,29379900
-22,69399911;4,66720000
-22,68899911;4,66720000
-22,68399911;4,85359200
-22,67899911;5,22699300
-22,67399911;5,22699300
-22,66899911;5,04060000
-22,66399911;4,48019200
-22,65899911;5,04060000
-22,65399911;4,29379900
-22,64899911;4,85359200
-22,64399911;4,10679100
-22,63899911;3,73339100
-22,63399911;3,35999000
-22,62899911;3,54699800
-22,62399911;3,35999000
-22,61899911;3,73339100
-22,61399911;2,42679600
-22,60899911;2,61318900
-22,60399911;3,54699800
-22,59899911;3,54699800
-22,59399911;3,73339100
-22,58899911;3,54699800
